#,Product Name,Category,Qty,Unit,Price USD,Total USD,Source File,Sheet Name
1,Aquarium Aluminum Alloy Retractable Koi Fish Net,tools,2,,3.44,6.88,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
2,small Wholesale Aquarium Special Nylon Fishing Net,tools,5,,0.5,2.5,Not Found,Not Found
3,Aquarium Fish Tank Stainless Steel Telescopic Square Fishnet Three-section Fishing Net  MEDIAM,tools,5,,0.7,3.5,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
4,Aquarium Fish Tank Five-in-one Cleaning Tool Fish Net Scraper Algae Knife Aquatic Clip,tools,5,,1.4,7.0,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
5,3 in 1 Quick Water Changer Aquarium Siphon Bottom Filter Kit Filter Vacuum Gravel Cleaner Fish Tank Tool Accessory,tools,15,,0.68,10.2,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
6,Chubby thermometer,Measurement & Thermometers,15,,0.1,1.5,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
7,Suction cup thermometer,Measurement & Thermometers,20,pcs,0.16,3.2,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
8,DoPhin Electric Skimmer,Water filters,5,pcs,2.55,12.75,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(7) Landscape equipment
9,led屏显温度计,Measurement & Thermometers,8,pcs,1.5,12.0,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(13)Tool accessories
10,	Rhododendron 40-45cm,decor,2,,7.66,15.32,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
11,Rhododendron 50–55cm,decor,2,,4.62,9.24,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
12,Rhododendron 30–35cm,decor,2,,2.77,5.54,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
13,Rhododendron Root 30–45cm,decor,3,KG,5.21,15.63,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
14,Brazilian Trees,decor,2,,9.78,19.56,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
15,Moss Tree 20-30cm,decor,5,,1.9,9.5,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
16,Polished Driftwood5-8cm,decor,5,KG,0.14,0.7,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
17,Polished Driftwood8-10cm,decor,5,KG,0.21,1.05,Houyi Aquarium Product Catalog总目录2025.11.21.xlsx,(3)Landscaping Driftwood
